_id,DatGeracaoConjuntoDados,SigTipoGeracao,QtdUsinasPeriodo,MdaPotenciaInstaladaKW,MesReferencia,AnoReferencia
"1,2026-03-01,CGH,0,"",00"",12,2001"
"2,2026-03-01,EOL,7,""21000,00"",12,2001"
"3,2026-03-01,PCH,303,""855000,00"",12,2001"
"4,2026-03-01,UFV,0,"",00"",12,2001"
"5,2026-03-01,UHE,133,""61554000,00"",12,2001"
"6,2026-03-01,UTE,600,""10480000,00"",12,2001"
"7,2026-03-01,UTN,2,""1966000,00"",12,2001"
"8,2026-03-01,UTN,2,""2007000,00"",12,2002"
"9,2026-03-01,UTE,654,""13093200,00"",12,2002"
"10,2026-03-01,UHE,138,""64197600,00"",12,2002"
"11,2026-03-01,UFV,0,"",00"",12,2002"
"12,2026-03-01,PCH,208,""896700,00"",12,2002"
"13,2026-03-01,EOL,9,""22000,00"",12,2002"
"14,2026-03-01,CGH,144,""78400,00"",12,2002"
"15,2026-03-01,CGH,159,""86510,00"",12,2003"
"16,2026-03-01,EOL,9,""22030,00"",12,2003"
"17,2026-03-01,PCH,241,""1151000,00"",12,2003"
"18,2026-03-01,UFV,1,""20,00"",12,2003"
"19,2026-03-01,UHE,140,""66460250,00"",12,2003"
"20,2026-03-01,UTE,712,""14080440,00"",12,2003"
"21,2026-03-01,UTN,2,""2007000,00"",12,2003"
"22,2026-03-01,UTN,2,""2007000,00"",12,2004"
"23,2026-03-01,UTE,766,""17506060,00"",12,2004"
"24,2026-03-01,UHE,144,""67777680,00"",12,2004"
"25,2026-03-01,UFV,1,""20,00"",12,2004"
"26,2026-03-01,PCH,250,""1219570,00"",12,2004"
"27,2026-03-01,EOL,11,""28630,00"",12,2004"
"28,2026-03-01,CGH,171,""90050,00"",12,2004"
"29,2026-03-01,CGH,188,""99300,00"",12,2005"
"30,2026-03-01,EOL,10,""28600,00"",12,2005"
"31,2026-03-01,PCH,260,""1329900,00"",12,2005"
"32,2026-03-01,UFV,1,""20,00"",12,2005"
"33,2026-03-01,UHE,149,""69631000,00"",12,2005"
"34,2026-03-01,UTE,870,""19769700,00"",12,2005"
"35,2026-03-01,UTN,2,""2007000,00"",12,2005"
"36,2026-03-01,UTN,2,""2007000,00"",12,2006"
"37,2026-03-01,UTE,945,""20372125,00"",12,2006"
